conjunct, components   , component_count, example           , meaning
ক্ক      , ক + ক        ,               2, আক্কেল             , intellect
ক্ট      , ক + ট        ,               2, ডক্টর              , doctor
ক্ট্র     , ক + ট + র    ,               3, অক্ট্রয়             , octroy
ক্ত      , ক + ত        ,               2, রক্ত               , blood
ক্ত্র     , ক + ত + র    ,               3, বক্ত্র              , mouth/face
ক্ন      , ক + ন        ,               2, বাচক্নবী           , prophet
ক্ব      , ক + ব        ,               2, পক্ব               , ripe
ক্ম      , ক + ম        ,               2, রুক্মিণী            , Rukmini
ক্য      , ক + য        ,               2, বাক্য              , sentence
ক্র      , ক + র        ,               2, চক্র               , wheel
ক্ল      , ক + ল        ,               2, ক্লান্তি            , tiredness
ক্ষ      , ক + ষ        ,               2, পক্ষ               , side/party
ক্ষ্ণ     , ক + ষ + ণ    ,               3, তীক্ষ্ণ             , sharp
ক্ষ্ব     , ক + ষ + ব    ,               3, ইক্ষ্বাকু            , Ikshvaku
ক্ষ্ম     , ক + ষ + ম    ,               3, লক্ষ্মী             , Lakshmi
ক্ষ্ম্য    , ক + ষ + ম + য,               4, সৌক্ষ্ম্য            , subtlety
ক্ষ্য     , ক + ষ + য    ,               3, লক্ষ্য              , target
ক্স      , ক + স        ,               2, বাক্স              , box
খ্য      , খ + য        ,               2, সখ্য               , friendship
খ্র      , খ + র        ,               2, খ্রিস্টান           , Christian
গ্‌ণ      , গ + ণ        ,               2, রুগ্‌ণ               , sick
গ্ধ      , গ + ধ        ,               2, মুগ্ধ               , enchanted
গ্ধ্য     , গ + ধ + য    ,               3, বৈদগ্ধ্য            , expertise
গ্ধ্র     , গ + ধ + র    ,               3, দোগ্ধ্রী            , milkmaid
গ্ন      , গ + ন        ,               2, ভগ্ন               , broken
গ্ন্য     , গ + ন + য    ,               3, অগ্ন্যাস্ত্র          , fire weapon
গ্ব      , গ + ব        ,               2, দিগ্বিজয়ী          , conqueror
গ্ম      , গ + ম        ,               2, যুগ্ম               , pair
গ্য      , গ + য        ,               2, ভাগ্য              , fortune
গ্র      , গ + র        ,               2, গ্রাম              , village
গ্র্য     , গ + র + য    ,               3, ঐকাগ্র্য            , concentration
গ্ল      , গ + ল        ,               2, গ্লানি             , disgust
ঘ্ন      , ঘ + ন        ,               2, কৃতঘ্ন              , ungrateful
ঘ্য      , ঘ + য        ,               2, অশ্লাঘ্য            , not praiseworthy
ঘ্র      , ঘ + র        ,               2, ঘ্রাণ              , smell
ঙ্ক      , ঙ + ক        ,               2, অঙ্ক               , mathematics
ঙ্‌ক্ত     , ঙ + ক + ত    ,               3, পঙ্‌ক্তি             , row
ঙ্ক্য     , ঙ + ক + য    ,               3, অঙ্ক্য              , mathematical
ঙ্ক্ষ     , ঙ + ক + ষ    ,               3, আকাঙ্ক্ষা           , desire
ঙ্খ      , ঙ + খ        ,               2, শঙ্খ               , conch shell
ঙ্খ্য     , ঙ + খ + য    ,               3, সাঙ্খ্যমান          , quantified
ঙ্গ      , ঙ + গ        ,               2, অঙ্গ               , body part
ঙ্গ্য     , ঙ + গ + য    ,               3, ব্যঙ্গ্যার্থ          , suggestive meaning
ঙ্ঘ      , ঙ + ঘ        ,               2, সঙ্ঘ               , group
ঙ্ঘ্য     , ঙ + ঘ + য    ,               3, দুর্লঙ্ঘ্য            , insurmountable
ঙ্ঘ্র     , ঙ + ঘ + র    ,               3, অঙ্ঘ্রি             , foot
ঙ্ম      , ঙ + ম        ,               2, বাঙ্ময়             , verbose
চ্চ      , চ + চ        ,               2, বাচ্চা             , child
চ্ছ      , চ + ছ        ,               2, ইচ্ছা              , wish
চ্ছ্ব     , চ + ছ + ব    ,               3, জলোচ্ছ্বাস          , tide
চ্ছ্র     , চ + ছ + র    ,               3, উচ্ছ্রায়            , height
চ্ঞ      , চ + ঞ        ,               2, যাচ্ঞা             , begging
চ্ব      , চ + ব        ,               2, চ্বী               , a specific consonant form
চ্য      , চ + য        ,               2, প্রাচ্য             , eastern
জ্জ      , জ + জ        ,               2, বিপজ্জনক           , dangerous
জ্জ্ব     , জ + জ + ব    ,               3, উজ্জ্বল             , bright
জ্ঝ      , জ + ঝ        ,               2, কুজ্ঝটিকা           , fog
জ্ঞ      , জ + ঞ        ,               2, জ্ঞান              , knowledge
জ্ব      , জ + ব        ,               2, জ্বর               , fever
জ্য      , জ + য        ,               2, রাজ্য              , state/kingdom
জ্র      , জ + র        ,               2, বজ্র               , thunderbolt
ঞ্চ      , ঞ + চ        ,               2, অঞ্চল              , region
ঞ্ছ      , ঞ + ছ        ,               2, লাঞ্ছনা            , disgrace
ঞ্জ      , ঞ + জ        ,               2, কুঞ্জ               , grove
ঞ্ঝ      , ঞ + ঝ        ,               2, ঝঞ্ঝা              , storm
ট্ট      , ট + ট        ,               2, চট্টগ্রাম           , Chattogram
ট্ব      , ট + ব        ,               2, খট্বা              , cot
ট্ম      , ট + ম        ,               2, কুট্মল              , bud
ট্য      , ট + য        ,               2, নাট্য              , drama
ট্র      , ট + র        ,               2, ট্রেন              , train
ড্ড      , ড + ড        ,               2, আড্ডা              , hangout
ড্ব      , ড + ব        ,               2, অন্ড্বান            , undular
ড্ম      , ড + ম        ,               2, কুড্মল              , bud
ড্য      , ড + য        ,               2, জাড্য              , inertia
ড্র      , ড + র        ,               2, ড্রাইভার           , driver
ড়্গ      , ড় + গ        ,               2, খড়্‌গ               , sword
ঢ্য      , ঢ + য        ,               2, ধনাঢ্য             , wealthy
ঢ্র      , ঢ + র        ,               2, মেঢ্র              , skin
ণ্ট      , ণ + ট        ,               2, ঘণ্টা              , bell
ণ্ঠ      , ণ + ঠ        ,               2, কণ্ঠ               , throat
ণ্ঠ্য     , ণ + ঠ + য    ,               3, কণ্ঠ্য              , guttural
ণ্ড      , ণ + ড        ,               2, গণ্ডগোল            , disturbance
ণ্ড্য     , ণ + ড + য    ,               3, পাণ্ড্য             , Pandya
ণ্ড্র     , ণ + ড + র    ,               3, পুণ্ড্র              , Pundra
ণ্ঢ      , ণ + ঢ        ,               2, ষণ্ঢ               , eunuch
ণ্ণ      , ণ + ণ        ,               2, বিষণ্ণ             , sad
ণ্ব      , ণ + ব        ,               2, স্থাণ্বীশ্বর         , Thaneswar
ণ্ম      , ণ + ম        ,               2, চিণ্ময়             , spiritual
ণ্য      , ণ + য        ,               2, পূণ্য               , virtue
ৎক      , ত + ক        ,               2, উৎকর্ষ             , excellence
ৎখ      , ত + খ        ,               2, উৎখাত             , uprooting
ত্ত      , ত + ত        ,               2, উত্তর              , answer/north
ত্ত্র     , ত + ত + র    ,               3, পুত্ত্র              , son
ত্ত্ব     , ত + ত + ব    ,               3, সত্ত্ব              , essence
ত্ত্য     , ত + ত + য    ,               3, উত্ত্যক্ত            , irritated
ত্থ      , ত + থ        ,               2, অশ্বত্থ             , peepal tree
ত্ন      , ত + ন        ,               2, যত্ন               , care
ৎপ      , ত + প        ,               2, উৎপল              , lotus
ত্ব      , ত + ব        ,               2, রাজত্ব             , kingship
ত্ম      , ত + ম        ,               2, আত্মা              , soul
ত্ম্য     , ত + ম + য    ,               3, দৌরাত্ম্য           , mischief
ত্য      , ত + য        ,               2, সত্য               , truth
ত্র      , ত + র        ,               2, ত্রিশ              , thirty
ত্র্য     , ত + র + য    ,               3, বৈচিত্র্য           , variety
ৎল      , ত + ল        ,               2, কাৎলা             , katla fish
ৎস      , ত + স        ,               2, বৎসর              , year
থ্ব      , থ + ব        ,               2, পৃথ্বী              , earth
থ্য      , থ + য        ,               2, পথ্য               , diet
থ্র      , থ + র        ,               2, থ্রি               , three
দ্গ      , দ + গ        ,               2, উদ্গম              , origin
দ্ঘ      , দ + ঘ        ,               2, উদ্ঘাটন            , inauguration
দ্দ      , দ + দ        ,               2, উদ্দেশ্য            , purpose
দ্দ্ব     , দ + দ + ব    ,               3, তদ্দ্বারা           , by that
দ্ধ      , দ + ধ        ,               2, রুদ্ধ               , closed
দ্ব      , দ + ব        ,               2, বিদ্বান            , learned
দ্ভ      , দ + ভ        ,               2, অদ্ভুত              , strange
দ্ভ্র     , দ + ভ + র    ,               3, উদ্ভ্রান্ত           , wandering
দ্ম      , দ + ম        ,               2, ছদ্ম               , disguise
দ্য      , দ + য        ,               2, বাদ্য              , musical instrument
দ্র      , দ + র        ,               2, রুদ্র               , Rudra
দ্র্য     , দ + র + য    ,               3, দারিদ্র্য           , poverty
ধ্ন      , ধ + ন        ,               2, অর্থগৃধ্নু            , greedy
ধ্ব      , ধ + ব        ,               2, ধ্বনি              , sound
ধ্ম      , ধ + ম        ,               2, উদরাধ্মান          , abdominal distension
ধ্য      , ধ + য        ,               2, আরাধ্য             , worshipable
ধ্র      , ধ + র        ,               2, ধ্রুব               , pole star
ন্ট      , ন + ট        ,               2, প্যান্ট             , pants
ন্ট্র     , ন + ট + র    ,               3, কন্ট্রোল            , control
ন্ঠ      , ন + ঠ        ,               2, লন্ঠন              , lantern
ন্ড      , ন + ড        ,               2, গন্ডার             , rhinoceros
ন্ড্র     , ন + ড + র    ,               3, হান্ড্রেড           , hundred
